Ref,Project name,Country,Date online,Decomission date,Status,Technology,Technology_details,Technology_electricity,Technology_electricity_details,Product,EndUse_Refining,EndUse_Ammonia,EndUse_Methanol,EndUse_Iron&Steel,EndUse_Other Ind,EndUse_Mobility,EndUse_Power,EndUse_Grid inj.,EndUse_CHP,EndUse_Domestic heat,EndUse_Biofuels,EndUse_Synfuels,EndUse_CH4 grid inj.,EndUse_CH4 mobility,Announced Size,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,IEA zero-carbon estimated normalized capacity [Nm³ H₂/hour],Location
3,H2GO Energy Park Oude-Tonge - 1st phase,NLD,2025.0,,FID/Construction,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,2.5MW,2.5,556.0,0.4,556.0,Oude-Tonge
4,H2GO Energy Park Oude-Tonge - 2nd phase,NLD,2030.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,26MW,26.0,5778.0,4.5,5778.0,Oude-Tonge
6,Norsk e-Fuel Phase 1,NOR,2028.0,,Feasibility study,SOEC,,Dedicated renewable,Others/Various,Synfuels,,,,,,,,,,,,1.0,,,50 million litres of synthetic kerosene per year production,257.491,67761.0,52.8,67761.0,Mosjøen
8,HYBRIT pilot,SWE,2021.0,,Operational,ALK,,Grid,,H2,,,,1.0,,,,,,,,,,,4.5MW,4.5,978.0,0.8,978.0,Luleå
9,HYBRIT demo,SWE,2028.0,,FID/Construction,ALK,,Grid,,H2,,,,1.0,,,,,,,,,,,500 MW - 1.3 Mt DRI,500.0,108696.0,84.7,108696.0,Luleå
10,Iberdrola - Puertollano I,ESP,2022.0,,Operational,PEM,,Grid+Renewables,Solar PV,Ammonia,,1.0,,,,,,,,,,,,,20 MW,20.0,3846.0,3.0,3846.0,Fertiberia plant in Puertollano
11,Green Hysland Mallorca - Phase 1,ESP,2022.0,,Operational,PEM,,Dedicated renewable,Solar PV,H2,,,,,1.0,1.0,,,,,,,1.0,,2.5 MW,2.5,481.0,0.4,481.0,Lloseta
14,CRI project in Norway (Circlenergy),NOR,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Grid,,MeOH,,,1.0,,,,,,,,,,,,110 MW,110.0,24444.0,19.1,24444.0,Finnjord
15,ARIES project,USA,2022.0,,DEMO,PEM,,Other/unknown,,H2,,,,,,,,,,,,,,,1 MW,1.0,192.0,0.1,192.0,Arvada (Colorado)
16,Fukushima Hydrogen Energy Research Field,JPN,2020.0,2023.0,Operational,ALK,,Dedicated renewable,Solar PV,H2,,,,,,1.0,1.0,,,,,,,,10 MW,10.0,2174.0,1.7,2174.0,Fukushima
17,Hydrospider - St Gallen,CHE,2020.0,,Operational,PEM,,Dedicated renewable,Hydropower,H2,,,,,,1.0,,,,,,,,,2 MW,2.0,385.0,0.3,385.0,St Gallen
18,"H2APEX Energy, Rostock-Laage",DEU,2021.0,,Operational,ALK,,Grid,,H2,,,,,,1.0,,,1.0,,,,,,2 MW,2.0,435.0,0.3,435.0,Laage
19,Leuchtturmprojekt Power-to-Gas Baden-Württemberg,DEU,2020.0,,Operational,PEM,,Dedicated renewable,Hydropower,H2,,,,,,1.0,,,,,,,,,1.3 MW,1.3,250.0,0.2,250.0,Baden-Württemberg
20,eFarm (5 production sites in North Frisia),DEU,2020.0,,Operational,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,1.125 MW,1.125,216.0,0.2,216.0,North Frisian Islands
22,Hydrogen plant - Orkney Islands - BIG HIT 2n phase,GBR,2019.0,,Operational,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,1.0,1.0,1.0,,1.0,,,,,1 MW,1.0,192.0,0.1,192.0,Orkney Islands
23,Wyhlen hydroelectric power plant,DEU,2020.0,,Operational,ALK,,Dedicated renewable,Hydropower,H2,,,,,,,1.0,,,,,,,,1.3 MW,1.3,283.0,0.2,283.0,Wyhlen hydroelectric power plant
24,GrInHy2.0,DEU,2020.0,,Operational,SOEC,,Grid,,H2,,,,1.0,,,,,,,,,,,0.7 MW - 200 Nm3 H2/h,0.7,200.0,0.2,200.0,Salzgitter
25,Power2Met,DNK,2020.0,,Operational,Other Electrolysis,Unknown PtX,Grid,,MeOH,,,1.0,,,,,,,,,,,,0.25 MW - 50 Nm3 H2/h,0.25,50.0,0.0,50.0,
26,REMOTE - Norway,NOR,2020.0,2022.0,Decommisioned,PEM,,Dedicated renewable,Others/Various,H2,,,,,,,1.0,,,,,,,,50 kW,,,,0.0,
27,H2One - Toranomon Hills Business Tower,JPN,2020.0,,Operational,PEM,,Grid,,H2,,,,,,,1.0,,,,,,,,1 Nm3/h,0.005,1.0,0.0,1.0,Toranomon Hills Business Tower
28,H2One - Toyama City Environment Center ,JPN,2020.0,,Operational,PEM,,Grid,,H2,,,,,,,1.0,,,,,,,,1 Nm3/h,0.005,1.0,0.0,1.0,Toyama
29,H2One - Tsuruga City,JPN,2020.0,,Operational,PEM,,Grid,,H2,,,,,,1.0,,,,,,,,,1 Nm3/h,0.005,1.0,0.0,1.0,Tsuruga
30,H2FUTURE,AUT,2019.0,,Operational,PEM,,Grid,,H2,,,,1.0,,,,,,,,,,,6 MW,6.0,1154.0,0.9,1154.0,Linz
31,Guangdong Synergy Hydrogen Power Technology Co. 1st phase,CHN,2019.0,,Operational,PEM,,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,4 MW,4.0,769.0,0.6,769.0,
33,Markham Power to Gas ,CAN,2018.0,,Operational,PEM,,Grid,,H2,,,,,,,1.0,1.0,,,,,,,2.5 MW,2.5,481.0,0.4,481.0,"Markham, Ontario"
34,PFI - Pirmasens-Winzeln,DEU,2019.0,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,CH4,,,,,,,,,,,,,1.0,,2.5 MW,2.5,556.0,0.4,556.0,Pirmasens
36,MEFCO2,DEU,2019.0,2021.0,DEMO,PEM,,Grid,,MeOH,,,1.0,,,,,,,,,,,,1 MW - 200 Nm3 H2/h - 1t MeOH/d,1.0,192.0,0.1,192.0,
37,"Windgas Haurup, 2nd phase",DEU,2020.0,,Operational,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,,1.0,,,,,,,,1 MW,1.0,192.0,0.1,192.0,Haurup
38,Parnu refuelling station,EST,2019.0,,Operational,ALK,,Other/unknown,,H2,,,,,,1.0,,,,,,,,,1 MW - 200m3 H2/h,1.0,217.0,0.2,217.0,Parnu
40,"H2Nodes, Riga",EST,2019.0,,Operational,PEM,,Other/unknown,,H2,,,,,,1.0,,,,,,,,,140 Nm3 H2/h,0.728,140.0,0.1,140.0,Riga
41,Houdain bus station HRS (TADAO/Bulle 6 SMTAG),FRA,2019.0,,Operational,ALK,,Grid,,H2,,,,,,1.0,,,,,,,,,0.5 MW,0.5,109.0,0.1,109.0,"Houdain, Pas-de-Calais, Haut-de-France, France "
42,HyDeploy,GBR,2020.0,,Operational,PEM,,Grid,,H2,,,,,,,,1.0,,,,,,,0.5 MW,0.5,96.0,0.1,96.0,Keele
43,Quebec Great Toronto Area East,CAN,2019.0,,Operational,ALK,,Other/unknown,,H2,,,,,,1.0,,,,,,,,,0.5 MW - 100m3 H2/h,0.5,109.0,0.1,109.0,
44,Fébus Pau bus station HRS,FRA,2021.0,,Operational,PEM,,Grid,,H2,,,,,,1.0,,,,,,,,,0.75 MW,0.75,144.0,0.1,144.0,"Pau, Pyrénées-Atlantiques, Nouvelle-Aquitaine, France"
46,"Solothurn, STORE&GO",CHE,2019.0,,Operational,PEM,,Grid,,CH4,,,,,,,,,,,,,1.0,,0.35 MW,0.35,67.0,0.1,67.0,Solothurn
49,Sarawak Energy,MYS,2019.0,,Operational,ALK,,Other/unknown,,H2,,,,,,1.0,,,,,,,,,60 Nm3/h,0.276,60.0,0.0,60.0,
50,Vårgårda Bostäder housing complex,SWE,2019.0,,Operational,ALK,,Dedicated renewable,Solar PV,H2,,,,,,,,1.0,,,,,,,60 Nm3/h,0.276,60.0,0.0,60.0,Vargarda 
51,SoCalGas-NREL,USA,2019.0,,Operational,Other Electrolysis,Unknown PtX,Other/unknown,,CH4,,,,,,,,,,,,,1.0,,0.25 MW,0.25,56.0,0.0,56.0,
52,Stromlückenfüller 2nd phase,DEU,2019.0,,Operational,PEM,,Grid,,H2,,,,,,,,1.0,,,,,,,0.2 MW,0.2,38.0,0.0,38.0,
54,ATCO clean energy innovation hub,AUS,2019.0,,Operational,PEM,,Grid,,H2,,,,,,,1.0,,,1.0,,,,,0.15MW,0.15,29.0,0.0,29.0,
55,Tauron CO2-SNG,POL,2019.0,,Operational,Other Electrolysis,Unknown PtX,Grid,,CH4,,,,,,,,,,,,,1.0,,18 Nm3/h,0.081,18.0,0.0,18.0,
56,Methane Synthesis test facility in Koshijihara Plant of INPEX’s - Nagaoa,JPN,2019.0,,DEMO,Other Electrolysis,Unknown PtX,Other/Unknown,,,,,,,,,,,,,,,,,,,,,0.0,Nagaoka
58,VTT Bio economy+,FIN,2019.0,,DEMO,PEM,,Other/unknown,,Synfuels,,,,,,,,,,,,1.0,,,0.025MW,0.025,5.0,0.0,5.0,
59,Kopernikus,DEU,2021.0,,DEMO,SOEC,,Other/unknown,,Synfuels,,,,,,,,,,,,1.0,,,0.01 MW - 10m3 H2/h,0.01,3.0,0.0,3.0,karlsruher institut für technologie
60,Rozenburg Power2Gas Phase 2,NLD,2019.0,,DEMO,PEM,,Grid,,H2,,,,,,,,1.0,,,,,,,0.007 MW,0.007,1.0,0.0,1.0,
61,Balance project,FIN,2019.0,,DEMO,SOEC,,Other/unknown,,Various,,,,,,,1.0,,,,,1.0,,,0.006MW,0.006,2.0,0.0,2.0,
62,H2One - SP Group,SGP,2019.0,,Operational,PEM,,Other/unknown,,H2,,,,,,1.0,,,,,,,,,1 Nm3 H2/h,0.005,1.0,0.0,1.0,
63,Falkenhagen STORE&GO,DEU,2018.0,,Operational,PEM,,Grid,,CH4,,,,,,,,,,,,,1.0,,1 MW - 180 Nm3 H2/h,1.0,192.0,0.1,192.0,
64,"NEDO kofu city, Yamanashi Prefecture",JPN,2019.0,,Operational,PEM,,Other/unknown,,H2,,,,,,,,,1.0,,,,,,1.5 MW,1.5,288.0,0.2,288.0,Yamanashi Prefecture
65,Semakau island microgrid Engie (SPORE),SGP,2019.0,,Operational,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,1.0,1.0,,,,,,,,50 kW,0.05,11.0,0.0,11.0,
66,H2PLAZA - Toyota Industries Corporation’s Takahama,JPN,2019.0,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,10 Nm³ H₂/h,0.045,10.0,0.0,10.0,
67,Localhy,DEU,2019.0,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,,,,,0.0,
68,Wind to Gas Südermarsch,DEU,2019.0,,Operational,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,1.0,,,,,,,2.4 MW - 450m3 H2/h,2.4,462.0,0.4,462.0,Brunsbüttel
69,Carbon2Chem,DEU,2018.0,,DEMO,ALK,,Grid,,Various,,1.0,1.0,,1.0,,,,,,,,,,2 MW,2.0,435.0,0.3,435.0,Duisburg
70,SunLine Transit Agency,USA,2018.0,,Operational,PEM,,Other/unknown,,H2,,,,,,1.0,,,,,,,,,1.5MW,1.5,288.0,0.2,288.0,
71,HyBALANCE,DNK,2020.0,,Operational,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,1.0,,,,,,,1.5 MW,1.5,288.0,0.2,288.0,Hobro
72,Aberdeen Conference Center,GBR,2018.0,,Operational,ALK,,Other/unknown,,H2,,,,,,,,,1.0,1.0,,,,,1MW - 200m3 H2/h,1.0,217.0,0.2,217.0,
73,Lam Takhong Wind Hydrogen Hybrid Project- EGAT,THA,2018.0,,Operational,PEM,,Other/unknown,,H2,,,,,,,1.0,,,,,,,,1MW - 200m3 H2/h,1.0,192.0,0.1,192.0,
74,H2ORIZON,DEU,2020.0,,Operational,PEM,,Other/unknown,,H2,,,,,,1.0,1.0,,1.0,,,,,,0.8 MW,0.8,154.0,0.1,154.0,Lampoldshausen
75,ASKO Midt-Norge,NOR,2017.0,,Operational,ALK,,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,0.7Mw or 150m3 H2/h,0.7,152.0,0.1,152.0,Trondheim
76,Underground Sun Conversion,AUT,2018.0,,Operational,ALK,,Dedicated renewable,Solar PV,CH4,,,,,,,,,,,,,1.0,,0.6MW,0.6,130.0,0.1,130.0,Gampern
77,Hydrogen plant - Orkney Islands - BIG HIT 1st phase,GBR,2017.0,,Operational,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,1.0,1.0,1.0,,,,,,,0.7 MW,0.7,135.0,0.1,135.0,Eday
80,"Windgas Haurup, 1st phase",DEU,2018.0,,Operational,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,,,1.0,,,,,,,0.225 MW,0.225,43.0,0.0,43.0,Haurup
82,"Troia,  STORE&GO",ITA,2018.0,,Operational,PEM,,Grid,,CH4,,,,,,,,,,,,,1.0,,0.2MW,0.2,38.0,0.0,38.0,
83,GNVert H2 ,FRA,2018.0,,Operational,PEM,,Other/unknown,,H2,,,,,,1.0,,,,,,,,,37 Nm3 H2/h,0.192,37.0,0.0,37.0,"Rungis, Val-de-Marne, Île-de-France, France"
85,Tongji solar hybrid hydrogen refueling station,CHN,2018.0,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,25 Nm3 H2/h,0.113,25.0,0.0,25.0,Shanghai
87,Methanation at Eichhof,DEU,2018.0,,Operational,PEM,,Other/unknown,,CH4,,,,,,,,,,,,,1.0,,0.05 MW,0.05,10.0,0.0,10.0,
88,"CoSin: Synthetic Natural Gas from Sewage, Barcelona",ESP,2018.0,,Operational,SOEC,,Other/unknown,,CH4,,,,,,,,,,,,,1.0,,20m3 CH4/h,0.033,9.0,0.0,9.0,
89,REFLEX,ITA,2018.0,,Operational,SOEC,,Other/unknown,,H2,,,,,,,1.0,,,,,,,,10 Nm3 H2/h,0.038,10.0,0.0,10.0,
90,Sendai City,JPN,2018.0,,Operational,PEM,,Other/unknown,,H2,,,,,,,1.0,,,,,,,,0.025MW,0.025,5.0,0.0,5.0,
92,"Rostock, Exytron Demonstrationsanlage",DEU,2018.0,,Operational,ALK,,Grid,,CH4,,,,,,,,,,,,,1.0,,4 Nm3 H2/h,0.018,4.0,0.0,4.0,
93,Tokyu Construction Institute of Technology,JPN,2018.0,,Operational,PEM,,Other/unknown,,H2,,,,,,,1.0,,,,,,,,1 Nm3 H2/h,0.005,1.0,0.0,1.0,
94,Rakuten Seimei Park Miyagi,JPN,2018.0,,Operational,PEM,,Other/unknown,,H2,,,,,,,,,1.0,,,,,,1 Nm3 H2/h,0.005,1.0,0.0,1.0,
95,"MicroPyros, Altenstant",DEU,2018.0,,Operational,Other Electrolysis,Unknown PtX,Other/unknown,,CH4,,,,,,,,,,,,,1.0,,0.25 Nm3 H2/h,0.001,0.0,0.0,0.0,
96,Oxelösund Forklifts,SWE,2018.0,,Operational,PEM,,Other/unknown,,H2,,,,,,1.0,,,,,,,,,,,,,0.0,
97,H21 Leeds City Gate - Teesside hydrogen,GBR,2035.0,,Feasibility study,NG w CCUS,ATR+CCUS,,,H2,1.0,,,,1.0,1.0,,1.0,,,,,,,1GW H2 - 1.5Mt CO2/y,,3890730.0,3033.4,1880647.0,Teesside
111,"Hynet Northwest, phase 1 (Essar Stanlow refinery)",GBR,2027.0,,Feasibility study,NG w CCUS,ATR+CCUS,,,H2,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,3 TWh H2/y - 0.65Mt CO2/y,,115438.0,90.0,81495.0,Essar Stanlow refinery
113,"Baicheng, Jilin wind-solar project",CHN,2035.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,,,,,,,,,1 Mt H2/y production,11543.789,2565287.0,2000.0,2565287.0,Baicheng
115,"Alzey, Exytron Null-E",DEU,2017.0,,Operational,ALK,,Other/unknown,,H2,,,,,,,1.0,,1.0,,,,,,0.0625MW,0.0625,14.0,0.0,14.0,
119,Energy observer,FRA,2017.0,,Operational,PEM,,Other/unknown,,H2,,,,,,1.0,1.0,,,,,,,,9 Nm3/h,0.047,9.0,0.0,9.0,
120,Haldor Topsoe - El-Opgraderet Biogas II,DNK,2017.0,2020.0,DEMO,SOEC,,Other/unknown,,CH4,,,,,,,,,,,,,1.0,,10 Nm3/h,0.038,10.0,0.0,10.0,Haldor Topsoe HQ
121,Musashi-Mizonokuchi Station,JPN,2017.0,,Operational,PEM,,Other/unknown,,H2,,,,,,,1.0,,,,,,,,1 Nm3/h,0.005,1.0,0.0,1.0,
122,"H2One - Hydrogen Application Center, Fuchu Complex",JPN,2017.0,,Operational,PEM,,Other/unknown,,H2,,,,,,1.0,,,,,,,,,1 Nm3/h,0.005,1.0,0.0,1.0,
123,H2One - Asahi Breweries in Ibaraki,JPN,2017.0,,Operational,PEM,,Other/unknown,,H2,,,,,,1.0,,,,,,,,,1 Nm3/h,0.005,1.0,0.0,1.0,
124,Costa Rica Transportation Ecosystem Project,CRI,2017.0,,Operational,PEM,,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,1 Nm3/h,0.005,1.0,0.0,1.0,Guanacaste
125,Cerro Pabellón Microgrid 450 kWh Hydrogen ESS,CHL,2017.0,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,,1.0,,,,,,,,50 kW,0.05,11.0,0.0,11.0,Ollague
126,"Energy in the Container, Fraunhofer IISB, Erlangen, Leistungszentren Elektroniksysteme (LZE)",DEU,2017.0,,DEMO,PEM,,Other/unknown,,H2,,,,,,,1.0,,,,,,,,,,,,0.0,
127,Hassfurt,DEU,2016.0,,Operational,PEM,,Grid,,H2,,,,,,,1.0,1.0,1.0,,,,,,1.25MW,1.25,240.0,0.2,240.0,
134,HPEM2GAS (R&D),DEU,2016.0,,Operational,PEM,,Other/unknown,,H2,,,,,,,,1.0,,,,,,,0.2MW,0.2,38.0,0.0,38.0,
135,Hamburg - Schnackenburgallee,DEU,2016.0,,Operational,PEM,,Grid,,H2,,,,,,1.0,,,,,,,,,0.185 MW,0.185,36.0,0.0,36.0,Hamburg
136,smart grid solar - arzberg,DEU,2016.0,2017.0,DEMO,PEM,,Dedicated renewable,Solar PV,H2,,,,,,,1.0,1.0,,,,,,,0.075MW,0.075,14.0,0.0,14.0,Arzberg
137,"Naval Facilities Engineering Command, Engineering and Expeditionary Warfare Center",USA,2016.0,,DEMO,SOEC,,Other/unknown,,H2,,,,,,,1.0,,,,,,,,0.05MW,0.05,13.0,0.0,13.0,
138,Laboratory System at IFE Kjeller Pahse 2,NOR,2016.0,,Operational,PEM,,Other/unknown,,H2,,,,,,,1.0,,,,,,,,2 Nm3 H2/h,0.01,2.0,0.0,2.0,
139,"H2One - Kyushu Resort Hotel,  Huis Ten Bosch",JPN,2016.0,,Operational,PEM,,Grid,,H2,,,,,,,1.0,,,,,,,,1 Nm3 H2/h,0.005,1.0,0.0,1.0,
140,H2One - Yokohama Cargo Center,JPN,2016.0,,Operational,PEM,,Grid,,H2,,,,,,,1.0,,,,,,,,1 Nm3 H2/h,0.005,1.0,0.0,1.0,
142,WindGas Hamburg-Reitbrook,DEU,2015.0,2023.0,DEMO,PEM,,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,1.5 MW,1.5,288.0,0.2,288.0,Reitbrook
143,"RH2 Grapzow, Mecklenburg Vorpommern",DEU,2015.0,,Operational,ALK,,Dedicated renewable,Onshore wind,H2,,,,,,,1.0,,,,,,,,1MW - 200 Nm3 H2/h,1.0,217.0,0.2,217.0,Grapzow
146,P2G-Biocat - Continued (Ref 508),DNK,2015.0,,Operational,ALK,,Other/unknown,,CH4,,,,,,,,,,,,,1.0,,0.5 MW - 100 Nm3H2/h,0.5,109.0,0.1,109.0,
147,Raglan Nickel mine,CAN,2015.0,2023.0,DEMO,ALK,,Dedicated renewable,Onshore wind,H2,,,,,,,1.0,,,,,,,,60 Nm3/h,0.276,60.0,0.0,60.0,"Nunavik, Quebec"
148,Don Quichote,BEL,2015.0,,Operational,ALK,,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,0.3 MW - 60 Nm3 H2/h,0.3,65.0,0.1,65.0,Halle
149,Regio Energie Solothurn/Aarmat hybrid plant,CHE,2015.0,,DEMO,PEM,,Other/unknown,,H2,,,,,,,,1.0,,,,,,,0.7MW - 60m3 H2/h,0.7,135.0,0.1,135.0,
151,RWE PtG plant Ibbenbüren,DEU,2015.0,2017.0,DEMO,PEM,,Grid,,H2,,,,,,,1.0,1.0,1.0,,,,,,0.15MW,0.15,29.0,0.0,29.0,
155,DemoSNG,SWE,2015.0,,DEMO,PEM,,Other/unknown,,CH4,,,,,,,,,,,,,1.0,,28 Nm3/h,0.146,28.0,0.0,28.0,
163,Stromlückenfüller 1st phase,DEU,2015.0,,Operational,PEM,,Grid,,H2,,,,,,,1.0,,,,,,,,0.02MW,0.02,4.0,0.0,4.0,
164,Higashi-Ogishima-Naga-Park,JPN,2015.0,2021.0,DEMO,PEM,,Dedicated renewable,Solar PV,H2,,,,,,,,,,1.0,,,,,1 Nm3/h,0.005,1.0,0.0,1.0,Kawasaki 
165,Emden II Upscaling,DEU,2015.0,2020.0,DEMO,PEM,,Other/unknown,,CH4,,,,,,,1.0,,,,,,1.0,,,,,,0.0,
167,SYNFUEL,DNK,2015.0,2018.0,DEMO,SOEC,,Other/unknown,,Synfuels,,,,,,,,,,,,1.0,,,,,,,0.0,
169,"Hydrogen Valley South Tyrol - Bolzano, CHIC",ITA,2014.0,,Operational,ALK,,Other/unknown,,H2,,,,,,1.0,,,,,,,,,1.5MW - 180 Nm3 H2/h,1.5,326.0,0.3,326.0,Bolzano
173,H2BER (Berlin airport),DEU,2014.0,,Operational,ALK,,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,,,,,,0.5 MW - 100 Nm3H2/h,0.5,109.0,0.1,109.0,Berlin
198,"Hanau, Wolfgang Industrial Park",DEU,2014.0,,Operational,PEM,,Other/unknown,,H2,,,,,,,1.0,1.0,,,,,,,4 Nm3 H2/h,0.021,4.0,0.0,4.0,
199,"MicroPyros, Staubing",DEU,2014.0,,Operational,Other Electrolysis,,Other/unknown,,CH4,,,,,,,,,,,,,1.0,,,,,,0.0,
200,"ETOGAS, Solar Fuel Beta-plant AUDI, Werlte (Audi e-gas)",DEU,2013.0,,Operational,ALK,,Grid,,CH4,,,,,,,,,,,,,1.0,1.0,6.3 MW,6.3,1370.0,1.1,1370.0,Werlte
201,H2 Logic HRS with onsite electrolysis Aalborg,DNK,2013.0,,Operational,ALK,,Grid,,H2,,,,,,1.0,,,,,,,,,200 kg H2/d,0.431,94.0,0.1,94.0,
202,WindGas Falkenhagen,DEU,2013.0,,Operational,ALK,,Dedicated renewable,Onshore wind,H2,,,,,,,,1.0,,,,,,,2 MW,2.0,435.0,0.3,435.0,Falkenhagen
203,P2G plant Erdgas Schwaben,DEU,2013.0,,Operational,PEM,,Other/unknown,,H2,,,,,,,,1.0,,,,,,,1 MW - 180 Nm3 H2/h,1.0,192.0,0.1,192.0,
204,"Oslo, CHIC",NOR,2013.0,,Operational,ALK,,Other/unknown,,H2,,,,,,1.0,,,,,,,,,0.6MW - 120 Nm3 H2/h,0.6,130.0,0.1,130.0,
205,"HySynergy, phase 1",DNK,2025.0,,Operational,ALK,,Dedicated renewable,Onshore wind,H2,1.0,,,,,,,,,,,,,,20MW,20.0,4348.0,3.4,4348.0,Fredericia refinery
207,CO2RRECT-Niederaussem,DEU,2013.0,2015.0,DEMO,PEM,,Grid,,CH4,,,,,,,,,,,,,1.0,,50 Nm3 H2/h,0.26,50.0,0.0,50.0,
211,"Sir Samuel building Griffith Center, Brisbane, Australia",AUS,2013.0,,Operational,ALK,,Other/unknown,,H2,,,,,,,1.0,,,,,,,,0.2MW - 30 Nm3 H2/h,0.2,43.0,0.0,43.0,
213,"MicrobEnergy GmbH, Schwandorf",DEU,2013.0,,Operational,PEM,,Grid,,CH4,,,,,,,,,,,,,1.0,,0.18 MW,0.18,35.0,0.0,35.0,
221,"H2Move, Fraunhofer ISE",DEU,2013.0,,Operational,PEM,,Dedicated renewable,Solar PV,H2,,,,,,1.0,,,,,,,,,0.04MW,0.04,8.0,0.0,8.0,Freiburg
222,"Hazira, Reliance, back-up hydrogen supply",IND,2005.0,,Operational,ALK,,Other/Unknown,,H2,,,,,,,,,,,,,,,,,,,0.0,
223,El Tubo - ACTA EL500,ESP,2013.0,,DEMO,PEM,,Other/unknown,,H2,,,,,,,1.0,,,,,,,,0.6 Nm3 H2/h,0.003,1.0,0.0,1.0,
225,Refhyne,DEU,2021.0,,Operational,PEM,,Grid,,H2,1.0,,,,,,,,,,,,,,10 MW,10.0,1923.0,1.5,1923.0,Wesseling
227,H&R Ölwerke Hamburg-Neuhof,DEU,2017.0,,Operational,PEM,,Grid,,H2,1.0,,,,,,,,,,,,,,5 MW,5.0,962.0,0.7,962.0,Hamburg-Neuhof
235,H2Herten,DEU,2012.0,,Operational,ALK,,Other/unknown,,H2,,,,,,1.0,1.0,,1.0,,,,,,0.165MW,0.165,36.0,0.0,36.0,Herten 
236,H2 research center BTU Cottbus,DEU,2012.0,,Operational,ALK,,Other/unknown,,H2,,,,,,,1.0,,,,,,,,0.14MW,0.14,30.0,0.0,30.0,
239,Cotbus,DEU,2012.0,,Operational,ALK,,Other/unknown,,H2,,,,,,1.0,,,,,,,,,0.12 MW - 30 Nm3 H2/h,0.12,26.0,0.0,26.0,
240,Eucolino Schwandorf,DEU,2012.0,,Operational,Other Electrolysis,Unknown PtX,Other/unknown,,H2,,,,,,,,1.0,,,,,,,24 Nm3 H2/h,0.108,24.0,0.0,24.0,
241,Agios Efstratios,GRC,2012.0,,Operational,Other Electrolysis,Unknown PtX,Other/unknown,,H2,,,,,,,1.0,,,,,,,,0.1MW,0.1,22.0,0.0,22.0,
246,Hydrogen mini grid system Yorkshire (Rotherham),GBR,2012.0,,Operational,ALK,,Other/unknown,,H2,,,,,,1.0,1.0,1.0,,,,,,,0.03MW,0.03,7.0,0.0,7.0,
249,"Fronius Energy Cell, self-sufficient house",AUT,2012.0,,DEMO,PEM,,Other/Unknown,,H2,,,,,,,1.0,,,1.0,,,,,1.7 Nm3 H2/h,0.009,2.0,0.0,2.0,
250,Hitachi Zosen - PTTEP CO2 Conversion to Methane Project R&D),THA,2012.0,,DEMO,Other Electrolysis,Unknown PtX,Other/unknown,,CH4,,,,,,,,,,,,,1.0,,,,,,0.0,
251,Commercial Plant Svartsengi/George Olah plant,ISL,2012.0,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,MeOH,,,1.0,,,,,,,,,,,,6MW - 1200m3 H2/h,6.0,1333.0,1.0,1333.0,Grindavik
254,"Hamburg Hafen City, CEP",DEU,2011.0,,Operational,ALK,,Other/unknown,,H2,,,,,,1.0,,,,,,,,,0.6MW - 120 Nm3 H2/h,0.6,130.0,0.1,130.0,Hamburg
258,"Hybrid Power Plant Enertrag, Prenzlau",DEU,2011.0,,Operational,ALK,,Other/unknown,,H2,,,,,,1.0,1.0,1.0,,1.0,,,,,0.5MW - 120 Nm3 H2/h,0.5,109.0,0.1,109.0,
