Ref,Project name,Country,Date online,Decomission date,Status,Technology,Technology_details,Technology_electricity,Technology_electricity_details,Product,EndUse_Refining,EndUse_Ammonia,EndUse_Methanol,EndUse_Iron&Steel,EndUse_Other Ind,EndUse_Mobility,EndUse_Power,EndUse_Grid inj.,EndUse_CHP,EndUse_Domestic heat,EndUse_Biofuels,EndUse_Synfuels,EndUse_CH4 grid inj.,EndUse_CH4 mobility,Announced Size,Capacity_MWel,Capacity_Nm³ H₂/h,Capacity_kt H2/y,IEA zero-carbon estimated normalized capacity [Nm³ H₂/hour],Location
987,Centrale Electrique de l’Ouest Guyanais (CEOG),FRA,2026.0,,FID/Construction,ALK,,Dedicated renewable,Solar PV,H2,,,,,,,1.0,,,,,,,,16MW,16.0,3478.0,2.7,3478.0,French Guiana
991,Bangladesh Council of Scientific and Industrial Research demo,BGD,2020.0,,DEMO,Biomass,,,,H2,,,,,,,,,,,,,,,,,,,0.0,
993,Aquamarine,HUN,2023.0,,Operational,PEM,,Dedicated renewable,Others/Various,H2,,,,,,,1.0,,,,,,,,2MW,2.0,385.0,0.3,385.0,Kardoskut
1000,Prince George refinery,CAN,2023.0,,Operational,Biomass,,,,H2,1.0,,,,,,,,,,1.0,,,,10 million cubic feet H2/d,,11792.0,9.2,11792.0,Prince George refinery
1001,Science Parks of Tainan and Hsinchu,TWN,2021.0,,Operational,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,1.0,,,,,,,,,,25MW,25.0,5556.0,4.3,5556.0,Tainan Technology Industrial Park
1002,SeaH2Land,NLD,2030.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Offshore wind,H2,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1GW,,,0.0,0.0,
1003,HRS Bremervörde - trains,DEU,2022.0,,Operational,PEM,,Other/Unknown,,H2,,,,,,1.0,,,,,,,,,1.6 t H2/d,3.895,749.0,0.6,749.0,Bremervörde
1004,ArcelorMittal Bremen - HyBit,DEU,2025.0,,FID/Construction,PEM,,Other/Unknown,,H2,,,,1.0,,,,,,,,,,,10 MW,10.0,1923.0,1.5,1923.0,ArcelorMittal Bremen
1006,DG Fuels,USA,2028.0,,Feasibility study,ALK,,Other/Unknown,,H2,,,,,,,,,,,,1.0,,,839 MW,839.0,182391.0,142.2,182391.0,"St. James Parish, Louisiana"
1012,Yanqing Hydrogen Energy Industrial Park,CHN,2023.0,,Operational,PEM,,Dedicated renewable,Unknown,H2,,,,,,1.0,,,,,,,,,2.8t H2/d,6.816,1311.0,1.0,1311.0,Yanqing
1015,Hydrogen Energy Equipment Industrial Cluster Project in Handan Economic and Technological Development Zone,CHN,2026.0,,Concept,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,1.0,,,,1.0,,,,,,,,,0.0,Handan Economic and Technological Development Zone
1017,CGN Baicheng Hydrogen Production Project - Jilin,CHN,2023.0,,DEMO,Other Electrolysis,Unknown PtX,Dedicated renewable,Onshore wind,H2,,,,,,,,,,,,,,,50 Nm3 H2/h,0.225,50.0,0.0,50.0,Jilin
1022,H2Pioneer - H2 Carinthia,AUT,2023.0,,Operational,PEM,,Dedicated renewable,Others/Various,H2,,,,,1.0,,,,,,,,,,2MW,2.0,385.0,0.3,385.0,Infineon's Villach site
1027,"Konin Power Plant, phase 1 - ZE PAK",POL,2024.0,,Operational,PEM,,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,2.5MW,2.5,481.0,0.4,481.0,Konin Power Plant
1028,Project AIR (Perstorp - Stenungsund),SWE,2027.0,,Feasibility study,ALK,,Dedicated renewable,Onshore wind,MeOH,,,1.0,,,,,,,,,,,,30 MW - 50kt MeOH/y,25.0,5435.0,4.2,5435.0,Stenungsund
1029,Reichenau power plant,CHE,2024.0,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Hydropower,H2,,,,,,1.0,,,,,,,,,2.5MW,2.5,556.0,0.4,556.0,Reichenau power plant
1030,Steklarna Hrastnik glass manufactuing plant,SVN,2021.0,,Operational,Other Electrolysis,Unknown PtX,Dedicated renewable,Solar PV,H2,,,,,1.0,,,,,,,,,,0.15MW,0.15,33.0,0.0,33.0,Steklarna Hrastnik glass manufactuing plant
1035,HyMAT SH,DEU,2026.0,,Feasibility study,Other Electrolysis,Unknown PtX,Dedicated renewable,Others/Various,H2,,,,,,1.0,,,,,,,,,10MW,10.0,2222.0,1.7,2222.0,Random location in Germany
1042,Thermal Power Plant Sostanj,SVN,2000.0,,Operational,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,0.1MW,0.1,22.0,0.0,22.0,Thermal Power Plant Sostanj
1043,TPJ Jesenice,SVN,2000.0,,Operational,Other Electrolysis,Unknown PtX,Other/Unknown,,H2,,,,,,,,,,,,,,,0.35MW,0.35,78.0,0.1,78.0,
